Domaine;Produit;Entreprise;Année(s) de stage(s);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rue de l'entreprise;Ville de l'entreprise;Code postal de l'entreprise;Tel entreprise;Site web;Longitude Latitude;Plus Code;Directeur;;;;Mél(s);;Rang A et i;Entreprise et Rang A et i;Rang  i;Entreprise et  Rang  i;2030;2029;2028;2027;2026;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;Points A  et  i;Points  i;;;A;B;C;D;E;;;F;G;H;I;J
Alimentaire;Restauration collective en milieu hospitalier;Centre hospitalier de Bar-sur-Seine;"; 2019=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6, rue du stade;Bar-sur-Seine;10110;0325383838;https://emploi.hopitauxchampagnesud.fr/spontane/tout;48.121014708525244, 4.374240727253072;;;;;;;;55;N° 55 Centre hospitalier de Bar-sur-Seine;35;N° 35 Centre hospitalier de Bar-sur-Seine;;;;;;;;;0;0;0;1;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Médical;Don du sang;Établissement français du sang - Grand Est;"; 2019=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;85 Bd Lobau CS 10720;Nancy;54064;0383447128;https://dondesang.efs.sante.fr/grand-est/maison-du-don-de-nancy;48.68658099780724, 6.195652812660157;;;;;;;;55;N° 55 Établissement français du sang - Grand Est;35;N° 35 Établissement français du sang - Grand Est;;;;;;;;;0;0;0;1;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Alimentaire;Tartes flambées;FLAMM TOP;"; 2019=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rue de l'Artisanat;Sarrebourg;57400;0387032416;http://www.maitrepierre.com/index.php;48.740773296365866, 7.077359267796908;;;;;;;;55;N° 55 FLAMM TOP;35;N° 35 FLAMM TOP;;;;;;;;;0;0;0;1;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Alimentaire;Pommes de terre;SAS l’Aube des champs;"; 2019=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Route Allibaudieres;Le Chêne;10700;0608995184;https://www.linkedin.com/company/l%27aube-des-champs;48.55617985963438, 4.136695717415357;;;;;;;;55;N° 55 SAS l’Aube des champs;35;N° 35 SAS l’Aube des champs;;;;;;;;;0;0;0;1;;;;;;;4;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Alimentaire;Emballages carton;Montgolfier;                  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1 Rue Georges Bizet;LA CHAPELLE-SAINT-LUC;10600;0325832500;https://fr.linkedin.com/company/montgolfier-emballages;48.31340650822486, 4.036508839431032;;;;;;;;65;N° 65 Montgolfier;65;N° 65 Montgolfier;;;;;;;;0;0;0;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alimentaire;Fromagerie;ENTREMONT Alliance;"; 2023=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Route Epinant Z.I. des Noëls;MONTIGNY-LE-ROI;52140;03 25 90 31 71;https://fr.linkedin.com/company/entremont-alliance;47.999052698376914, 5.484293059091894;;;;;;BGARRY@entremont.com;;23;N° 23 ENTREMONT Alliance;18;N° 18 ENTREMONT Alliance;;;;;;;;1;0;0;0;0;;;;;;;6;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Médical;Dispositifs médicaux;BIOSERENITY;"; 2023=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 12 rue Gustave EIFFEL;ROSIERES-PRES-TROYES;10430;0;https://technopole-aube.fr/startup/bioserenity/;48.26604528801132, 4.075398962744034;;;;;;;;23;N° 23 BIOSERENITY;18;N° 18 BIOSERENITY;;;;;;;;1;0;0;0;0;0;0;0;0;0;0;6;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Cosmétique;Conditionnement coffrets;VERPACK - CLP PACKAGING;"; 2023=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10 rue Georges Clémenceau;MIGENNES;89400;03 86 92 06 90;https://www.verpack.fr/;47.972062853988554, 3.5316508226592793;;;;;;;;23;N° 23 VERPACK - CLP PACKAGING;18;N° 18 VERPACK - CLP PACKAGING;;;;;;;;1;0;0;0;0;0;0;0;0;0;0;6;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Alimentaire;Analyses;SOFRALAB;"; 2023=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1 Bis avenue du professeur Paul PORTIER;Bar-sus-Seine;10110;03 25 29 98 45;http://www.oenotechnic.com/;48.1094688292678, 4.377274509000101;;;;;; sgorny@sofralab.com;;23;N° 23 SOFRALAB;18;N° 18 SOFRALAB;;;;;;;;1;0;0;0;0;0;0;0;0;0;0;6;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Alimentaire;Confiserie;DOLIS;"; 2023=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Avenue de Genève;SAINT-FLORENTIN;89600;0386350885;http://dupontdisigny.com/lentreprise/lusine-de-dolis/;47.998435406269486, 3.738768639035251;;;;;;;;23;N° 23 DOLIS;18;N° 18 DOLIS;;;;;;;;1;0;0;0;0;0;0;0;0;0;0;6;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Alimentaire;Grand distribution;E.Leclerc SAINT DENIS LES SENS;"; 2023=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Le pré Aubert;SAINT DENIS LES SENS;89100;0386644000;https://www.e.leclerc/mag/e-leclerc-saint-denis-les-sens;48.21889349554345, 3.277120413576041;;;;;;;;23;N° 23 E.Leclerc SAINT DENIS LES SENS;18;N° 18 E.Leclerc SAINT DENIS LES SENS;;;;;;;;1;0;0;0;0;0;0;0;0;0;0;6;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Médical;Stérilisation;IONISOS;                  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ZI;CHAUMESNIL;10500;03.25.92.99.05;https://www.ionisos.com/nos-sites/ionisos-france/;48.35978077586589, 4.614943468703092;;;;;;info@ionisos.fr;;65;N° 65 IONISOS;65;N° 65 IONISOS;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lycée;Étudiants en  BTS Bioqualité;Lycée Les Lombards;                  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12 avenue les Lombards;Troyes;10000;0325714660;https://fr.linkedin.com/company/lycee-polyvalent-les-lombards/;48.27385633751622, 4.071713932691602;;;;;;ce.0100025y@ac-reims.fr;;3;N° 3 Lycée Les Lombards;3;N° 3 Lycée Les Lombards;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
